period,programme,scheme,scheme_description,basis,recipients
2022Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,3172.0
2022Q2,Children,CB,Child Benefit,Social Assistance,649142.0
2022Q2,Children,FIS,Working Family Payment,Social Assistance,50103.0
2022Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,93185.0
2022Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3964.0
2022Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,158382.0
2022Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,174876.0
2022Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,59015.0
2022Q2,Pensions,SPC,State Pension Contributory,Social Insurance,479717.0
2022Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96418.0
2022Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,126149.0
2022Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,88166.0
2022Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,145718.0
2022Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,11660.0
2022Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,166809.0
2022Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,81776.0
2022Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,28449.0
2022Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,43897.0
2022Q2,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,19082.0
2022Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6352.0
2022Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1166.0
2022Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,3264.0
2022Q3,Children,CB,Child Benefit,Social Assistance,646443.0
2022Q3,Children,FIS,Working Family Payment,Social Assistance,50991.0
2022Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,94000.0
2022Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4165.0
2022Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,159308.0
2022Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,157433.0
2022Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,58308.0
2022Q3,Pensions,SPC,State Pension Contributory,Social Insurance,484822.0
2022Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,98331.0
2022Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,126439.0
2022Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,89692.0
2022Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,148587.0
2022Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,10669.0
2022Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,171823.0
2022Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,82229.0
2022Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,27108.0
2022Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,44683.0
2022Q3,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,24806.0
2022Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6992.0
2022Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1155.0
2022Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,3225.0
2022Q4,Children,CB,Child Benefit,Social Assistance,656074.0
2022Q4,Children,FIS,Working Family Payment,Social Assistance,51186.0
2022Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,94409.0
2022Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4121.0
2022Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,160134.0
2022Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,129466.0
2022Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,57887.0
2022Q4,Pensions,SPC,State Pension Contributory,Social Insurance,488587.0
2022Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,99270.0
2022Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,126629.0
2022Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,94421.0
2022Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,157812.0
2022Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,9987.0
2022Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,171586.0
2022Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,67414.0
2022Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,29339.0
2022Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,45164.0
2022Q4,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,24033.0
2022Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7416.0
2022Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1140.0
2023Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,3037.0
2023Q1,Children,CB,Child Benefit,Social Assistance,657533.0
2023Q1,Children,FIS,Working Family Payment,Social Assistance,51336.0
2023Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,95284.0
2023Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4342.0
2023Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,161073.0
2023Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,122521.0
2023Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,57835.0
2023Q1,Pensions,SPC,State Pension Contributory,Social Insurance,493225.0
2023Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,99966.0
2023Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,126898.0
2023Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,96050.0
2023Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,160878.0
2023Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,9489.0
2023Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,173639.0
2023Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,65871.0
2023Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,27499.0
2023Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,45625.0
2023Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,20589.0
2023Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6710.0
2023Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1133.0
2023Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,2983.0
2023Q2,Children,CB,Child Benefit,Social Assistance,661721.0
2023Q2,Children,FIS,Working Family Payment,Social Assistance,51044.0
2023Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,96071.0
2023Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4533.0
2023Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,162075.0
2023Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,112670.0
2023Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,57575.0
2023Q2,Pensions,SPC,State Pension Contributory,Social Insurance,498681.0
2023Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,100238.0
2023Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,127199.0
2023Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,97447.0
2023Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,163748.0
2023Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,9064.0
2023Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,173002.0
2023Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,64821.0
2023Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,27785.0
2023Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,45985.0
2023Q2,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,23955.0
2023Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6486.0
2023Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1133.0
2023Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,2861.0
2023Q3,Children,CB,Child Benefit,Social Assistance,657132.0
2023Q3,Children,FIS,Working Family Payment,Social Assistance,50396.0
2023Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,96982.0
2023Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4669.0
2023Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,163310.0
2023Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,114528.0
2023Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,57279.0
2023Q3,Pensions,SPC,State Pension Contributory,Social Insurance,503471.0
2023Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,100835.0
2023Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,127070.0
2023Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,98865.0
2023Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,166798.0
2023Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,8714.0
2023Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,171605.0
2023Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,71879.0
2023Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,27972.0
2023Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,46104.0
2023Q3,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,25085.0
2023Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7427.0
2023Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1105.0
2023Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,2734.0
2023Q4,Children,CB,Child Benefit,Social Assistance,663240.0
2023Q4,Children,FIS,Working Family Payment,Social Assistance,49569.0
2023Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,98065.0
2023Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4550.0
2023Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,164722.0
2023Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,120350.0
2023Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,57911.0
2023Q4,Pensions,SPC,State Pension Contributory,Social Insurance,510508.0
2023Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,101800.0
2023Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,127487.0
2023Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,101937.0
2023Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,172575.0
2023Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,8419.0
2023Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,165904.0
2023Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,63445.0
2023Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,29906.0
2023Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,46325.0
2023Q4,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,22068.0
2023Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7798.0
2023Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1104.0
2024Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,2559.0
2024Q1,Children,CB,Child Benefit,Social Assistance,663726.0
2024Q1,Children,FIS,Working Family Payment,Social Assistance,49466.0
2024Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,98765.0
2024Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4589.0
2024Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,165930.0
2024Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,110929.0
2024Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,58437.0
2024Q1,Pensions,SPC,State Pension Contributory,Social Insurance,515715.0
2024Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,101972.0
2024Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,127638.0
2024Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,102444.0
2024Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,175656.0
2024Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,8156.0
2024Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,163871.0
2024Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,68340.0
2024Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,28545.0
2024Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,46248.0
2024Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,19983.0
2024Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7198.0
2024Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1094.0
2024Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,2476.0
2024Q2,Children,CB,Child Benefit,Social Assistance,683114.0
2024Q2,Children,FIS,Working Family Payment,Social Assistance,49596.0
2024Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,99390.0
2024Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4730.0
2024Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,167679.0
2024Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,108792.0
2024Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,58229.0
2024Q2,Pensions,SPC,State Pension Contributory,Social Insurance,522270.0
2024Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,101998.0
2024Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,127826.0
2024Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,103433.0
2024Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,178331.0
2024Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,7864.0
2024Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,162719.0
2024Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,68675.0
2024Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,27120.0
2024Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,46107.0
2024Q2,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,21984.0
2024Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6671.0
2024Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1068.0
2024Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,2467.0
2024Q3,Children,CB,Child Benefit,Social Assistance,686152.0
2024Q3,Children,FIS,Working Family Payment,Social Assistance,49385.0
2024Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,99920.0
2024Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4961.0
2024Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,169205.0
2024Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,110207.0
2024Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,57673.0
2024Q3,Pensions,SPC,State Pension Contributory,Social Insurance,526255.0
2024Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,101828.0
2024Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,127718.0
2024Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,104834.0
2024Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,182099.0
2024Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,7598.0
2024Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,160254.0
2024Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,76067.0
2024Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,28552.0
2024Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,46037.0
2024Q3,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,30149.0
2024Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,8138.0
2024Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1063.0
